date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,10_days_beta,20_days_beta,30_days_beta
2021-12-20,sz.000736,5.9600,6.2900,5.9200,6.2800,5.9500,8951695,55124148.9200,1.287200,5.546200,69.114077,1.442003,0.425715,-2907.298632,-0.7631851914798111,-0.7631851914798111,-0.7631851914798111
2021-12-21,sz.000736,6.3000,6.9100,6.3000,6.9100,6.2800,13675186,91898507.2900,1.966400,10.031800,76.047495,1.586663,0.468423,-3198.954387,0.1461468861327313,0.1461468861327313,0.1461468861327313
2021-12-22,sz.000736,7.3600,7.6000,6.7000,7.0700,6.9100,30133380,219581916.4600,4.333000,2.315500,77.808364,1.623402,0.479269,-3273.025689,0.46319638492357673,0.46319638492357673,0.46319638492357673
2021-12-23,sz.000736,6.7000,6.9800,6.4000,6.5200,7.0700,16662237,110260777.2400,2.395900,-7.779300,71.755379,1.497112,0.441985,-3018.405586,-0.6709593235123827,-0.6709593235123827,-0.6709593235123827
2021-12-24,sz.000736,6.7800,6.8000,6.1600,6.1800,6.5200,10467667,66107685.5900,1.505200,-5.214700,68.013534,1.419042,0.418937,-2861.004068,-0.1665170124565446,-0.1665170124565446,-0.1665170124565446
2021-12-27,sz.000736,6.2600,6.4900,6.1900,6.3600,6.1800,7388008,46799991.2900,1.062400,2.912600,69.994511,1.460373,0.431139,-2944.334284,0.5136862839614412,0.5136862839614412,0.5136862839614412
2021-12-28,sz.000736,6.3100,6.5300,6.1200,6.4900,6.3600,6840766,43217848.0200,0.983700,2.044000,71.425216,1.490223,0.439951,-3004.517217,0.4964340121560884,0.4964340121560884,0.4964340121560884
2021-12-29,sz.000736,6.4300,6.4800,6.1500,6.2800,6.4900,7203980,44920521.6300,1.035900,-3.235700,69.114077,1.442003,0.425715,-2907.298632,1.0347156515542963,1.0347156515542963,1.0347156515542963
2021-12-30,sz.000736,6.2700,6.3100,6.1400,6.2900,6.2800,4948000,30875835.4000,0.711500,0.159200,69.224131,1.444300,0.426393,-2911.928089,0.9788733063515068,0.9788733063515068,0.9788733063515068
2021-12-31,sz.000736,6.2500,6.6900,6.1700,6.3500,6.2900,6495215,41338852.9100,0.934000,0.953900,69.884457,1.458077,0.430461,-2939.704827,0.7543928174355481,0.7543928174355481,0.7543928174355481
2022-01-04,sz.000736,6.3500,6.5500,6.1500,6.5100,6.3500,6183476,39689617.7000,0.889200,2.519700,71.645325,1.494816,0.441307,-3013.776130,3.0694490407564388,3.0694490407564388,3.0694490407564388
2022-01-05,sz.000736,6.4800,7.1600,6.4200,6.8300,6.5100,16262651,111818713.4900,2.338500,4.915500,75.167061,1.568293,0.462999,-3161.918735,-0.05785265422760663,-0.05785265422760663,-0.05785265422760663
2022-01-06,sz.000736,6.5500,7.3700,6.5500,7.2000,6.8300,16996686,119908369.9400,2.444000,5.417300,79.239069,1.653252,0.488081,-3333.208623,-0.6934359528152574,-0.6934359528152574,-0.6934359528152574
2022-01-07,sz.000736,6.9800,7.9200,6.9800,7.7600,7.2000,28212205,217581556.8600,4.056800,7.777800,85.402108,1.781839,0.526043,-3592.458182,0.002225491908860201,0.002225491908860201,0.002225491908860201
2022-01-10,sz.000736,7.5400,7.9600,7.4500,7.8100,7.7600,18980888,146083619.8900,2.729400,0.644300,85.952379,1.793319,0.529433,-3615.605465,-0.9971472438140239,-0.9971472438140239,-0.9971472438140239
